Actual,Predicted
4.036988869976738670e-01,4.375491738319396973e-01
3.095122621779999861e-01,4.429118037223815918e-01
4.223632224243867306e-01,4.162410795688629150e-01
3.119402938968671712e-01,4.458950757980346680e-01
4.468010836558868881e-01,4.453843832015991211e-01
5.660619240761279869e-01,5.144969224929809570e-01
5.585276119103292913e-01,5.960091352462768555e-01
5.608073668830066971e-01,6.288202404975891113e-01
5.825453556942901123e-01,6.126758456230163574e-01
5.429956227468886176e-01,5.647149682044982910e-01
4.047368242210067635e-01,4.944820404052734375e-01
4.094909473957351054e-01,4.089992642402648926e-01
2.983111896428694010e-01,3.785160779953002930e-01
4.271358801923894610e-01,3.405503034591674805e-01
4.333913054222953143e-01,3.787756860256195068e-01
4.218751448015098937e-01,4.299591183662414551e-01
4.192555889521467627e-01,4.686677753925323486e-01
4.642822942119555485e-01,4.870308935642242432e-01
5.007769083680599920e-01,5.118185877799987793e-01
5.020527062050725853e-01,5.212333202362060547e-01
4.782357538482453485e-01,5.147591829299926758e-01
3.341632712321489507e-01,4.759823679924011230e-01
4.220790253275215065e-01,4.033445417881011963e-01
3.849326113079554190e-01,4.133992493152618408e-01
3.337585992790041978e-01,4.055663943290710449e-01
4.023180597987763285e-01,4.038513302803039551e-01
4.012801225754434320e-01,4.322957992553710938e-01
3.965723358838992851e-01,4.676240086555480957e-01
4.101334799625599992e-01,5.136064887046813965e-01
5.029300102866991473e-01,5.553632974624633789e-01
5.975738217404602537e-01,6.248162984848022461e-01
5.768645028558716525e-01,6.485601067543029785e-01
6.068627420695111852e-01,5.885055065155029297e-01
5.402370574479720133e-01,5.238028764724731445e-01
4.210503554008262483e-01,4.551810920238494873e-01
3.358344737256695467e-01,4.064007997512817383e-01
3.742103490990644765e-01,3.711726069450378418e-01
3.542393248465489641e-01,3.881620168685913086e-01
4.147393263910985617e-01,3.954008221626281738e-01
3.641645995446669559e-01,4.207536280155181885e-01
3.888928360707897269e-01,4.377294182777404785e-01
4.049592393402918766e-01,4.608072936534881592e-01
4.873084372557681121e-01,4.747962355613708496e-01
4.536218139806438288e-01,4.943196773529052734e-01
5.634300118312487449e-01,4.710747003555297852e-01
4.093828289349712435e-01,5.034739971160888672e-01
4.664570198227475650e-01,4.460240602493286133e-01
3.668552046682460599e-01,4.315653741359710693e-01
3.911787692412245221e-01,4.106313288211822510e-01
4.083325353161231241e-01,4.124113321304321289e-01
4.619129553717886694e-01,4.234577417373657227e-01
4.661944464180352021e-01,4.680784344673156738e-01
3.890133109270692557e-01,5.122924447059631348e-01
5.337499498021434086e-01,5.342996716499328613e-01
5.605973081592368068e-01,6.110584735870361328e-01
6.052934798389961735e-01,6.427863836288452148e-01
5.658302416602052354e-01,6.588419079780578613e-01
